Numero	Code	Browser	Appl	Goog	Twtr.	One	FB	FBM	Sams.	Wind.	GMail	SB	DCM	KDDI	CLDR Short Name
51	U+1F616	😖	😖	😖	😖	😖	😖	😖	😖	😖	😖	😖	😖	😖	confounded face
52	U+1F61E	😞	😞	😞	😞	😞	😞	😞	😞	😞	😞	😞	😞	—	disappointed face
53	U+1F61F	😟	😟	😟	😟	😟	😟	😟	😟	😟	😟	—	—	—	worried face
54	U+1F624	😤	😤	😤	😤	😤	😤	😤	😤	😤	😤	—	—	😤	face with steam from nose
55	U+1F622	😢	😢	😢	😢	😢	😢	😢	😢	😢	😢	😢	😢	😢	crying face
56	U+1F62D	😭	😭	😭	😭	😭	😭	😭	😭	😭	😭	😭	😭	😭	loudly crying face
57	U+1F626	😦	😦	😦	😦	😦	😦	😦	😦	😦	—	—	—	—	frowning face with open mouth
58	U+1F627	😧	😧	😧	😧	😧	😧	😧	😧	😧	—	—	—	—	anguished face
59	U+1F628	😨	😨	😨	😨	😨	😨	😨	😨	😨	😨	😨	—	😨	fearful face
60	U+1F629	😩	😩	😩	😩	😩	😩	😩	😩	😩	😩	—	—	😩	weary face
61	U+1F92F	🤯	—	🤯	🤯	🤯	🤯	—	—	—	—	—	—	—	⊛ exploding head
62	U+1F62C	😬	😬	😬	😬	😬	😬	😬	😬	😬	—	—	—	—	grimacing face
63	U+1F630	😰	😰	😰	😰	😰	😰	😰	😰	😰	😰	😰	—	😰	anxious face with sweat
64	U+1F631	😱	😱	😱	😱	😱	😱	😱	😱	😱	😱	😱	😱	😱	face screaming in fear
65	U+1F633	😳	😳	😳	😳	😳	😳	😳	😳	😳	😳	😳	—	😳	flushed face
66	U+1F92A	🤪	—	🤪	🤪	🤪	🤪	—	—	—	—	—	—	—	⊛ crazy face
67	U+1F635	😵	😵	😵	😵	😵	😵	😵	😵	😵	😵	—	😵	😵	dizzy face
68	U+1F621	😡	😡	😡	😡	😡	😡	😡	😡	😡	😡	😡	😡	😡	pouting face
69	U+1F620	😠	😠	😠	😠	😠	😠	😠	😠	😠	😠	😠	😠	😠	angry face
70	U+1F92C	🤬	—	🤬	🤬	🤬	🤬	—	—	—	—	—	—	—	⊛ face with symbols on mouth
71	U+1F637	😷	😷	😷	😷	😷	😷	😷	😷	😷	😷	😷	—	😷	face with medical mask
72	U+1F912	🤒	🤒	🤒	🤒	🤒	🤒	—	🤒	🤒	—	—	—	—	face with thermometer
73	U+1F915	🤕	🤕	🤕	🤕	🤕	🤕	—	🤕	🤕	—	—	—	—	face with head-bandage
74	U+1F922	🤢	🤢	🤢	🤢	🤢	🤢	—	🤢	🤢	—	—	—	—	nauseated face
75	U+1F92E	🤮	—	🤮	🤮	🤮	🤮	—	—	—	—	—	—	—	⊛ face vomiting
76	U+1F927	🤧	🤧	🤧	🤧	🤧	🤧	—	🤧	🤧	—	—	—	—	sneezing face
77	U+1F607	😇	😇	😇	😇	😇	😇	😇	😇	😇	—	—	—	—	smiling face with halo
78	U+1F920	🤠	🤠	🤠	🤠	🤠	🤠	—	🤠	🤠	—	—	—	—	cowboy hat face
79	U+1F921	🤡	🤡	🤡	🤡	🤡	🤡	—	🤡	🤡	—	—	—	—	clown face
80	U+1F925	🤥	🤥	🤥	🤥	🤥	🤥	—	🤥	🤥	—	—	—	—	lying face
81	U+1F92B	🤫	—	🤫	🤫	🤫	🤫	—	—	—	—	—	—	—	⊛ shushing face
82	U+1F92D	🤭	—	🤭	🤭	🤭	🤭	—	—	—	—	—	—	—	⊛ face with hand over mouth
83	U+1F9D0	🧐	—	🧐	🧐	🧐	🧐	—	—	—	—	—	—	—	⊛ face with monocle
84	U+1F913	🤓	🤓	🤓	🤓	🤓	🤓	—	🤓	🤓	—	—	—	—	nerd face
85	U+1F608	😈	😈	😈	😈	😈	😈	😈	😈	😈	—	—	—	—	smiling face with horns
86	U+1F47F	👿	👿	👿	👿	👿	👿	👿	👿	👿	👿	👿	—	👿	angry face with horns
87	U+1F479	👹	👹	👹	👹	👹	👹	👹	👹	👹	👹	—	—	👹	ogre
88	U+1F47A	👺	👺	👺	👺	👺	👺	👺	👺	👺	👺	—	—	👺	goblin
89	U+1F480	💀	💀	💀	💀	💀	💀	💀	💀	💀	💀	💀	—	💀	skull
90	U+2620	☠	☠	☠	☠	☠	☠	—	☠	☠	—	—	—	—	skull and crossbones
91	U+1F47B	👻	👻	👻	👻	👻	👻	👻	👻	👻	👻	👻	—	👻	ghost
92	U+1F47D	👽	👽	👽	👽	👽	👽	👽	👽	👽	👽	👽	—	👽	alien
93	U+1F47E	👾	👾	👾	👾	👾	👾	👾	👾	👾	👾	👾	—	👾	alien monster
94	U+1F916	🤖	🤖	🤖	🤖	🤖	🤖	—	🤖	🤖	—	—	—	—	robot face
95	U+1F4A9	💩	💩	💩	💩	💩	💩	💩	💩	💩	💩	💩	—	💩	pile of poo
96	U+1F63A	😺	😺	😺	😺	😺	😺	😺	😺	😺	😺	—	—	😺	grinning cat face
97	U+1F638	😸	😸	😸	😸	😸	😸	😸	😸	😸	😸	—	—	😸	grinning cat face with smiling eyes
98	U+1F639	😹	😹	😹	😹	😹	😹	😹	😹	😹	😹	—	—	😹	cat face with tears of joy
99	U+1F63B	😻	😻	😻	😻	😻	😻	😻	😻	😻	😻	—	—	😻	smiling cat face with heart-eyes
100	U+1F63C	😼	😼	😼	😼	😼	😼	😼	😼	😼	😼	—	—	😼	cat face with wry smile
101	U+1F63D	😽	😽	😽	😽	😽	😽	😽	😽	😽	😽	—	—	😽	kissing cat face
102	U+1F640	🙀	🙀	🙀	🙀	🙀	🙀	🙀	🙀	🙀	🙀	—	—	🙀	weary cat face
103	U+1F63F	😿	😿	😿	😿	😿	😿	😿	😿	😿	😿	—	—	😿	crying cat face
104	U+1F63E	😾	😾	😾	😾	😾	😾	😾	😾	😾	😾	—	—	😾	pouting cat face
105	U+1F648	🙈	🙈	🙈	🙈	🙈	🙈	🙈	🙈	🙈	🙈	—	—	🙈	see-no-evil monkey
106	U+1F649	🙉	🙉	🙉	🙉	🙉	🙉	🙉	🙉	🙉	🙉	—	—	🙉	hear-no-evil monkey
107	U+1F64A	🙊	🙊	🙊	🙊	🙊	🙊	🙊	🙊	🙊	🙊	—	—	🙊	speak-no-evil monkey
108	U+1F476	👶	👶	👶	👶	👶	👶	👶	👶	👶	👶	👶	—	👶	baby
109	U+1F476 U+1F3FB	👶🏻	👶🏻	👶🏻	👶🏻	👶🏻	👶🏻	👶🏻	👶🏻	👶🏻	—	—	—	—	baby: light skin tone
110	U+1F476 U+1F3FC	👶🏼	👶🏼	👶🏼	👶🏼	👶🏼	👶🏼	👶🏼	👶🏼	👶🏼	—	—	—	—	baby: medium-light skin tone
111	U+1F476 U+1F3FD	👶🏽	👶🏽	👶🏽	👶🏽	👶🏽	👶🏽	👶🏽	👶🏽	👶🏽	—	—	—	—	baby: medium skin tone
112	U+1F476 U+1F3FE	👶🏾	👶🏾	👶🏾	👶🏾	👶🏾	👶🏾	👶🏾	👶🏾	👶🏾	—	—	—	—	baby: medium-dark skin tone
113	U+1F476 U+1F3FF	👶🏿	👶🏿	👶🏿	👶🏿	👶🏿	👶🏿	👶🏿	👶🏿	👶🏿	—	—	—	—	baby: dark skin tone
114	U+1F9D2	🧒	—	🧒	🧒	🧒	🧒	—	—	—	—	—	—	—	⊛ child
115	U+1F9D2 U+1F3FB	🧒🏻	—	🧒🏻	🧒🏻	🧒🏻	🧒🏻	—	—	—	—	—	—	—	⊛ child: light skin tone
116	U+1F9D2 U+1F3FC	🧒🏼	—	🧒🏼	🧒🏼	🧒🏼	🧒🏼	—	—	—	—	—	—	—	⊛ child: medium-light skin tone
117	U+1F9D2 U+1F3FD	🧒🏽	—	🧒🏽	🧒🏽	🧒🏽	🧒🏽	—	—	—	—	—	—	—	⊛ child: medium skin tone
118	U+1F9D2 U+1F3FE	🧒🏾	—	🧒🏾	🧒🏾	🧒🏾	🧒🏾	—	—	—	—	—	—	—	⊛ child: medium-dark skin tone
119	U+1F9D2 U+1F3FF	🧒🏿	—	🧒🏿	🧒🏿	🧒🏿	🧒🏿	—	—	—	—	—	—	—	⊛ child: dark skin tone
120	U+1F466	👦	👦	👦	👦	👦	👦	👦	👦	👦	👦	👦	—	—	boy
121	U+1F466 U+1F3FB	👦🏻	👦🏻	👦🏻	👦🏻	👦🏻	👦🏻	👦🏻	👦🏻	👦🏻	—	—	—	—	boy: light skin tone
122	U+1F466 U+1F3FC	👦🏼	👦🏼	👦🏼	👦🏼	👦🏼	👦🏼	👦🏼	👦🏼	👦🏼	—	—	—	—	boy: medium-light skin tone
123	U+1F466 U+1F3FD	👦🏽	👦🏽	👦🏽	👦🏽	👦🏽	👦🏽	👦🏽	👦🏽	👦🏽	—	—	—	—	boy: medium skin tone
124	U+1F466 U+1F3FE	👦🏾	👦🏾	👦🏾	👦🏾	👦🏾	👦🏾	👦🏾	👦🏾	👦🏾	—	—	—	—	boy: medium-dark skin tone
125	U+1F466 U+1F3FF	👦🏿	👦🏿	👦🏿	👦🏿	👦🏿	👦🏿	👦🏿	👦🏿	👦🏿	—	—	—	—	boy: dark skin tone
126	U+1F467	👧	👧	👧	👧	👧	👧	👧	👧	👧	👧	👧	—	—	girl
127	U+1F467 U+1F3FB	👧🏻	👧🏻	👧🏻	👧🏻	👧🏻	👧🏻	👧🏻	👧🏻	👧🏻	—	—	—	—	girl: light skin tone
128	U+1F467 U+1F3FC	👧🏼	👧🏼	👧🏼	👧🏼	👧🏼	👧🏼	👧🏼	👧🏼	👧🏼	—	—	—	—	girl: medium-light skin tone
129	U+1F467 U+1F3FD	👧🏽	👧🏽	👧🏽	👧🏽	👧🏽	👧🏽	👧🏽	👧🏽	👧🏽	—	—	—	—	girl: medium skin tone
130	U+1F467 U+1F3FE	👧🏾	👧🏾	👧🏾	👧🏾	👧🏾	👧🏾	👧🏾	👧🏾	👧🏾	—	—	—	—	girl: medium-dark skin tone
131	U+1F467 U+1F3FF	👧🏿	👧🏿	👧🏿	👧🏿	👧🏿	👧🏿	👧🏿	👧🏿	👧🏿	—	—	—	—	girl: dark skin tone
132	U+1F9D1	🧑	—	🧑	🧑	🧑	🧑	—	—	—	—	—	—	—	⊛ adult
133	U+1F9D1 U+1F3FB	🧑🏻	—	🧑🏻	🧑🏻	🧑🏻	🧑🏻	—	—	—	—	—	—	—	⊛ adult: light skin tone
134	U+1F9D1 U+1F3FC	🧑🏼	—	🧑🏼	🧑🏼	🧑🏼	🧑🏼	—	—	—	—	—	—	—	⊛ adult: medium-light skin tone
135	U+1F9D1 U+1F3FD	🧑🏽	—	🧑🏽	🧑🏽	🧑🏽	🧑🏽	—	—	—	—	—	—	—	⊛ adult: medium skin tone
136	U+1F9D1 U+1F3FE	🧑🏾	—	🧑🏾	🧑🏾	🧑🏾	🧑🏾	—	—	—	—	—	—	—	⊛ adult: medium-dark skin tone
137	U+1F9D1 U+1F3FF	🧑🏿	—	🧑🏿	🧑🏿	🧑🏿	🧑🏿	—	—	—	—	—	—	—	⊛ adult: dark skin tone
138	U+1F468	👨	👨	👨	👨	👨	👨	👨	👨	👨	👨	👨	—	👨	man
139	U+1F468 U+1F3FB	👨🏻	👨🏻	👨🏻	👨🏻	👨🏻	👨🏻	👨🏻	👨🏻	👨🏻	—	—	—	—	man: light skin tone
140	U+1F468 U+1F3FC	👨🏼	👨🏼	👨🏼	👨🏼	👨🏼	👨🏼	👨🏼	👨🏼	👨🏼	—	—	—	—	man: medium-light skin tone
141	U+1F468 U+1F3FD	👨🏽	👨🏽	👨🏽	👨🏽	👨🏽	👨🏽	👨🏽	👨🏽	👨🏽	—	—	—	—	man: medium skin tone
142	U+1F468 U+1F3FE	👨🏾	👨🏾	👨🏾	👨🏾	👨🏾	👨🏾	👨🏾	👨🏾	👨🏾	—	—	—	—	man: medium-dark skin tone
143	U+1F468 U+1F3FF	👨🏿	👨🏿	👨🏿	👨🏿	👨🏿	👨🏿	👨🏿	👨🏿	👨🏿	—	—	—	—	man: dark skin tone
144	U+1F469	👩	👩	👩	👩	👩	👩	👩	👩	👩	👩	👩	—	👩	woman
145	U+1F469 U+1F3FB	👩🏻	👩🏻	👩🏻	👩🏻	👩🏻	👩🏻	👩🏻	👩🏻	👩🏻	—	—	—	—	woman: light skin tone
146	U+1F469 U+1F3FC	👩🏼	👩🏼	👩🏼	👩🏼	👩🏼	👩🏼	👩🏼	👩🏼	👩🏼	—	—	—	—	woman: medium-light skin tone
147	U+1F469 U+1F3FD	👩🏽	👩🏽	👩🏽	👩🏽	👩🏽	👩🏽	👩🏽	👩🏽	👩🏽	—	—	—	—	woman: medium skin tone
148	U+1F469 U+1F3FE	👩🏾	👩🏾	👩🏾	👩🏾	👩🏾	👩🏾	👩🏾	👩🏾	👩🏾	—	—	—	—	woman: medium-dark skin tone
149	U+1F469 U+1F3FF	👩🏿	👩🏿	👩🏿	👩🏿	👩🏿	👩🏿	👩🏿	👩🏿	👩🏿	—	—	—	—	woman: dark skin tone
150	U+1F9D3	🧓	—	🧓	🧓	🧓	🧓	—	—	—	—	—	—	—	⊛ older adult
151	U+1F9D3 U+1F3FB	🧓🏻	—	🧓🏻	🧓🏻	🧓🏻	🧓🏻	—	—	—	—	—	—	—	⊛ older adult: light skin tone
152	U+1F9D3 U+1F3FC	🧓🏼	—	🧓🏼	🧓🏼	🧓🏼	🧓🏼	—	—	—	—	—	—	—	⊛ older adult: medium-light skin tone
153	U+1F9D3 U+1F3FD	🧓🏽	—	🧓🏽	🧓🏽	🧓🏽	🧓🏽	—	—	—	—	—	—	—	⊛ older adult: medium skin tone
154	U+1F9D3 U+1F3FE	🧓🏾	—	🧓🏾	🧓🏾	🧓🏾	🧓🏾	—	—	—	—	—	—	—	⊛ older adult: medium-dark skin tone
155	U+1F9D3 U+1F3FF	🧓🏿	—	🧓🏿	🧓🏿	🧓🏿	🧓🏿	—	—	—	—	—	—	—	⊛ older adult: dark skin tone
156	U+1F474	👴	👴	👴	👴	👴	👴	👴	👴	👴	👴	👴	—	👴	old man
157	U+1F474 U+1F3FB	👴🏻	👴🏻	👴🏻	👴🏻	👴🏻	👴🏻	👴🏻	👴🏻	👴🏻	—	—	—	—	old man: light skin tone
158	U+1F474 U+1F3FC	👴🏼	👴🏼	👴🏼	👴🏼	👴🏼	👴🏼	👴🏼	👴🏼	👴🏼	—	—	—	—	old man: medium-light skin tone
159	U+1F474 U+1F3FD	👴🏽	👴🏽	👴🏽	👴🏽	👴🏽	👴🏽	👴🏽	👴🏽	👴🏽	—	—	—	—	old man: medium skin tone
160	U+1F474 U+1F3FE	👴🏾	👴🏾	👴🏾	👴🏾	👴🏾	👴🏾	👴🏾	👴🏾	👴🏾	—	—	—	—	old man: medium-dark skin tone
161	U+1F474 U+1F3FF	👴🏿	👴🏿	👴🏿	👴🏿	👴🏿	👴🏿	👴🏿	👴🏿	👴🏿	—	—	—	—	old man: dark skin tone
162	U+1F475	👵	👵	👵	👵	👵	👵	👵	👵	👵	👵	👵	—	👵	old woman
163	U+1F475 U+1F3FB	👵🏻	👵🏻	👵🏻	👵🏻	👵🏻	👵🏻	👵🏻	👵🏻	👵🏻	—	—	—	—	old woman: light skin tone
164	U+1F475 U+1F3FC	👵🏼	👵🏼	👵🏼	👵🏼	👵🏼	👵🏼	👵🏼	👵🏼	👵🏼	—	—	—	—	old woman: medium-light skin tone
165	U+1F475 U+1F3FD	👵🏽	👵🏽	👵🏽	👵🏽	👵🏽	👵🏽	👵🏽	👵🏽	👵🏽	—	—	—	—	old woman: medium skin tone
166	U+1F475 U+1F3FE	👵🏾	👵🏾	👵🏾	👵🏾	👵🏾	👵🏾	👵🏾	👵🏾	👵🏾	—	—	—	—	old woman: medium-dark skin tone
167	U+1F475 U+1F3FF	👵🏿	👵🏿	👵🏿	👵🏿	👵🏿	👵🏿	👵🏿	👵🏿	👵🏿	—	—	—	—	old woman: dark skin tone
168	U+1F468 U+200D U+2695 U+FE0F	👨‍⚕️	👨‍⚕️	👨‍⚕️	👨‍⚕️	👨‍⚕️	👨‍⚕️	—	👨‍⚕️	👨‍⚕️	—	—	—	—	man health worker
169	U+1F468 U+1F3FB U+200D U+2695 U+FE0F	👨🏻‍⚕️	👨🏻‍⚕️	👨🏻‍⚕️	👨🏻‍⚕️	👨🏻‍⚕️	👨🏻‍⚕️	—	👨🏻‍⚕️	👨🏻‍⚕️	—	—	—	—	man health worker: light skin tone
170	U+1F468 U+1F3FC U+200D U+2695 U+FE0F	👨🏼‍⚕️	👨🏼‍⚕️	👨🏼‍⚕️	👨🏼‍⚕️	👨🏼‍⚕️	👨🏼‍⚕️	—	👨🏼‍⚕️	👨🏼‍⚕️	—	—	—	—	man health worker: medium-light skin tone
171	U+1F468 U+1F3FD U+200D U+2695 U+FE0F	👨🏽‍⚕️	👨🏽‍⚕️	👨🏽‍⚕️	👨🏽‍⚕️	👨🏽‍⚕️	👨🏽‍⚕️	—	👨🏽‍⚕️	👨🏽‍⚕️	—	—	—	—	man health worker: medium skin tone
172	U+1F468 U+1F3FE U+200D U+2695 U+FE0F	👨🏾‍⚕️	👨🏾‍⚕️	👨🏾‍⚕️	👨🏾‍⚕️	👨🏾‍⚕️	👨🏾‍⚕️	—	👨🏾‍⚕️	👨🏾‍⚕️	—	—	—	—	man health worker: medium-dark skin tone
173	U+1F468 U+1F3FF U+200D U+2695 U+FE0F	👨🏿‍⚕️	👨🏿‍⚕️	👨🏿‍⚕️	👨🏿‍⚕️	👨🏿‍⚕️	👨🏿‍⚕️	—	👨🏿‍⚕️	👨🏿‍⚕️	—	—	—	—	man health worker: dark skin tone
174	U+1F469 U+200D U+2695 U+FE0F	👩‍⚕️	👩‍⚕️	👩‍⚕️	👩‍⚕️	👩‍⚕️	👩‍⚕️	—	👩‍⚕️	👩‍⚕️	—	—	—	—	woman health worker
175	U+1F469 U+1F3FB U+200D U+2695 U+FE0F	👩🏻‍⚕️	👩🏻‍⚕️	👩🏻‍⚕️	👩🏻‍⚕️	👩🏻‍⚕️	👩🏻‍⚕️	—	👩🏻‍⚕️	👩🏻‍⚕️	—	—	—	—	woman health worker: light skin tone
176	U+1F469 U+1F3FC U+200D U+2695 U+FE0F	👩🏼‍⚕️	👩🏼‍⚕️	👩🏼‍⚕️	👩🏼‍⚕️	👩🏼‍⚕️	👩🏼‍⚕️	—	👩🏼‍⚕️	👩🏼‍⚕️	—	—	—	—	woman health worker: medium-light skin tone
177	U+1F469 U+1F3FD U+200D U+2695 U+FE0F	👩🏽‍⚕️	👩🏽‍⚕️	👩🏽‍⚕️	👩🏽‍⚕️	👩🏽‍⚕️	👩🏽‍⚕️	—	👩🏽‍⚕️	👩🏽‍⚕️	—	—	—	—	woman health worker: medium skin tone
178	U+1F469 U+1F3FE U+200D U+2695 U+FE0F	👩🏾‍⚕️	👩🏾‍⚕️	👩🏾‍⚕️	👩🏾‍⚕️	👩🏾‍⚕️	👩🏾‍⚕️	—	👩🏾‍⚕️	👩🏾‍⚕️	—	—	—	—	woman health worker: medium-dark skin tone
179	U+1F469 U+1F3FF U+200D U+2695 U+FE0F	👩🏿‍⚕️	👩🏿‍⚕️	👩🏿‍⚕️	👩🏿‍⚕️	👩🏿‍⚕️	👩🏿‍⚕️	—	👩🏿‍⚕️	👩🏿‍⚕️	—	—	—	—	woman health worker: dark skin tone
180	U+1F468 U+200D U+1F393	👨‍🎓	👨‍🎓	👨‍🎓	👨‍🎓	👨‍🎓	👨‍🎓	—	👨‍🎓	👨‍🎓	—	—	—	—	man student
181	U+1F468 U+1F3FB U+200D U+1F393	👨🏻‍🎓	👨🏻‍🎓	👨🏻‍🎓	👨🏻‍🎓	👨🏻‍🎓	👨🏻‍🎓	—	👨🏻‍🎓	👨🏻‍🎓	—	—	—	—	man student: light skin tone
182	U+1F468 U+1F3FC U+200D U+1F393	👨🏼‍🎓	👨🏼‍🎓	👨🏼‍🎓	👨🏼‍🎓	👨🏼‍🎓	👨🏼‍🎓	—	👨🏼‍🎓	👨🏼‍🎓	—	—	—	—	man student: medium-light skin tone
183	U+1F468 U+1F3FD U+200D U+1F393	👨🏽‍🎓	👨🏽‍🎓	👨🏽‍🎓	👨🏽‍🎓	👨🏽‍🎓	👨🏽‍🎓	—	👨🏽‍🎓	👨🏽‍🎓	—	—	—	—	man student: medium skin tone
184	U+1F468 U+1F3FE U+200D U+1F393	👨🏾‍🎓	👨🏾‍🎓	👨🏾‍🎓	👨🏾‍🎓	👨🏾‍🎓	👨🏾‍🎓	—	👨🏾‍🎓	👨🏾‍🎓	—	—	—	—	man student: medium-dark skin tone
185	U+1F468 U+1F3FF U+200D U+1F393	👨🏿‍🎓	👨🏿‍🎓	👨🏿‍🎓	👨🏿‍🎓	👨🏿‍🎓	👨🏿‍🎓	—	👨🏿‍🎓	👨🏿‍🎓	—	—	—	—	man student: dark skin tone
186	U+1F469 U+200D U+1F393	👩‍🎓	👩‍🎓	👩‍🎓	👩‍🎓	👩‍🎓	👩‍🎓	—	👩‍🎓	👩‍🎓	—	—	—	—	woman student
187	U+1F469 U+1F3FB U+200D U+1F393	👩🏻‍🎓	👩🏻‍🎓	👩🏻‍🎓	👩🏻‍🎓	👩🏻‍🎓	👩🏻‍🎓	—	👩🏻‍🎓	👩🏻‍🎓	—	—	—	—	woman student: light skin tone
188	U+1F469 U+1F3FC U+200D U+1F393	👩🏼‍🎓	👩🏼‍🎓	👩🏼‍🎓	👩🏼‍🎓	👩🏼‍🎓	👩🏼‍🎓	—	👩🏼‍🎓	👩🏼‍🎓	—	—	—	—	woman student: medium-light skin tone
189	U+1F469 U+1F3FD U+200D U+1F393	👩🏽‍🎓	👩🏽‍🎓	👩🏽‍🎓	👩🏽‍🎓	👩🏽‍🎓	👩🏽‍🎓	—	👩🏽‍🎓	👩🏽‍🎓	—	—	—	—	woman student: medium skin tone
190	U+1F469 U+1F3FE U+200D U+1F393	👩🏾‍🎓	👩🏾‍🎓	👩🏾‍🎓	👩🏾‍🎓	👩🏾‍🎓	👩🏾‍🎓	—	👩🏾‍🎓	👩🏾‍🎓	—	—	—	—	woman student: medium-dark skin tone
